id;cohort;gender;country;duration;family_jur;jud_vars_rules;jud_vars_gender;jud_vars_ideology;jud_vars_public;jud_vars_courts;jud_vars_polits;jud_vars_litig;ideo_lr;ideo_eu;ideo_bel;cogn_stud;cogn_pig;cogn_stock;dec_tort_prop;dec_tort_art3;dec_rob_f;dec_rob_m;dec_rob_fx;dec_ref_2m;dec_ref_reas;dec_car_ford;dec_car_audi;dec_fin_contr;dec_fin_effet;ecj_power;eu_inst_com;eu_inst_ep;eu_inst_cons;eu_inst_ecj;eu_inst_ecb
R_2xK4ciNNDrQnLRb;emerging2021;M;Belgium;662;2;NA;NA;NA;6;4;3;5;6;9;2;29;20;7000;NA;1;NA;36;NA;NA;2;NA;NA;1;2;7;3;2;1;5;4
R_23awOmKWCYnJ4zx;emerging2021;M;Belgium;718;2;7;2;6;4;5;1;3;4;9;2;29;20;7000;NA;2;NA;24;NA;1;NA;NA;NA;2;NA;6;5;2;4;3;1
R_esnhCN17tT6Nl9T;emerging2021;M;Belgium;8667;2;7;2;3;1;5;4;6;6;9;2;29;20;7000;NA;1;NA;NA;36;NA;2;NA;NA;NA;2;9;4;1;2;5;3
R_1fdrODAia67N7RW;emerging2021;M;98;809;1;1;6;5;7;2;4;3;7;8;NA;29;90;7000;1;NA;30;NA;NA;1;NA;NA;1;1;NA;6;2;1;4;4;5
R_3iR7UHqjB4iQQjS;emerging2021;F;202;825;2;7;3;4;1;5;6;2;2;5;NA;1;20;7000;1;NA;9;NA;NA;NA;2;NA;NA;NA;2;6;2;1;4;3;5
R_3KNQ6jYx0o7OUp2;emerging2021;M;Belgium;862;2;7;1;2;3;6;4;5;3;9;7;29;20;7000;1;NA;12;NA;NA;1;NA;NA;NA;2;2;7;5;2;4;3;1
R_2dgUxFxm0SuaL3P;emerging2021;M;Belgium;118;2;4;3;2;7;5;1;6;6;9;2;29;20;7000;NA;1;36;NA;NA;NA;2;NA;NA;1;NA;8;3;2;1;5;4
R_dbDA1tulrRRGnip;emerging2021;F;106;813;2;7;NA;NA;NA;NA;4;6;3;10;NA;1;20;6000;NA;1;NA;8;NA;NA;1;1;NA;NA;2;NA;5;3;4;2;4
R_3L2e99R3FGaNVN6;emerging2021;NA;NA;772;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA
R_2frZetRkQCrMWDz;emerging2021;F;57;1029;2;1;7;5;NA;3;4;2;7;8;NA;30;10;10000;NA;1;42;NA;NA;2;NA;NA;NA;2;2;7;2;5;3;4;4
R_22QYqkQfePkN7Q2;emerging2021;F;134;1221;2;3;7;2;6;4;5;1;5;10;NA;30;10;7000;NA;2;NA;24;NA;2;NA;NA;NA;2;1;8;5;3;4;2;1
R_1LOqljiMSW3aAS8;emerging2021;M;101;1230;2;1;5;3;6;7;4;2;5;8;NA;30;10;7000;1;NA;NA;30;NA;1;NA;1;NA;NA;1;8;4;4;3;5;2
R_9Bv6mCDUlgG8xdD;emerging2021;M;58;3356;2;1;7;3;6;5;4;2;2;9;NA;30;0;6000;NA;1;NA;NA;32;NA;1;NA;NA;1;1;7;5;2;3;4;4
R_33pQacoCP3Xs7pv;emerging2021;M;58;967;2;7;4;NA;NA;6;2;NA;3;7;NA;29;10;7000;NA;1;84;NA;NA;NA;3;NA;NA;NA;1;6;5;3;1;4;2
R_3oFtFENt7KuwMJg;emerging2021;NA;106;752;2;7;2;3;NA;5;4;6;6;8;NA;30;20;0;NA;2;NA;12;NA;1;NA;NA;NA;1;NA;6;4;3;3;2;4
R_XOn8FJyjiPyBdvz;emerging2021;M;208;1259;2;7;3;2;1;6;4;5;6;10;NA;30;0;7000;1;NA;NA;NA;18;NA;1;NA;2;1;NA;9;5;1;3;4;2
R_3EDLfIB9dRprccu;emerging2021;M;228;1313;2;1;7;4;5;2;6;3;3;7;NA;29;20;7000;1;NA;NA;NA;48;2;NA;1;NA;2;NA;6;5;3;4;3;2
R_2us0kditOGBRbLM;emerging2021;M;153;1409;2;1;7;4;6;3;5;2;6;4;NA;30;10;7000;1;NA;NA;NA;84;1;NA;NA;2;2;NA;7;4;2;5;5;4
R_3dFjfo9i1BLJpEc;emerging2021;F;197;10162;2;1;7;5;3;4;6;2;5;9;NA;30;10;7000;1;NA;NA;NA;42;NA;1;NA;NA;NA;1;8;4;5;3;4;4
R_1IzPdQkFR6hZTNr;emerging2021;F;74;1527;2;7;4;5;6;3;1;2;3;7;NA;29;0;7000;NA;1;NA;NA;40;NA;2;NA;2;NA;1;6;5;3;2;4;1
R_8nX4DZnHncmkxe9;emerging2021;F;44;1872;2;1;5;4;3;7;6;2;3;5;NA;29;0;7000;1;NA;12;NA;NA;NA;1;NA;NA;1;1;7;5;4;3;3;3
R_2VvuNF5wbx7KCfa;emerging2021;M;202;2245;2;1;6;5;4;3;7;2;5;9;NA;16;10;5000;2;NA;NA;10;NA;1;NA;2;NA;NA;NA;7;5;1;2;4;3
R_2SoF7QiqPk8zNsZ;emerging2021;M;Belgium;1151;2;1;7;5;6;4;3;2;3;10;2;29;20;7000;2;NA;NA;NA;36;2;NA;NA;NA;2;2;7;5;4;4;3;4
R_1esehMRghPB9hnX;fdd2020;F;Belgium;714;2;4;6;NA;NA;3;7;5;5;8;2;30;30;3000;NA;1;NA;12;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_XL1zEksTlcG6uCl;fdd2020;F;Belgium;489;2;2;7;6;4;1;5;3;5;9;7;29;20;7000;NA;1;NA;72;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2TFROVLHGCZyNLS;fdd2020;F;Belgium;591;2;7;2;3;NA;5;4;6;5;9;NA;29;0;7000;NA;1;30;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3WRMeNWoOC0tYnn;fdd2020;M;Belgium;538;2;7;6;4;1;3;2;5;7;7;NA;30;20;7000;2;NA;NA;NA;18;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_d7oh32bLl622YCZ;fdd2020;M;Belgium;579;2;1;7;6;3;4;2;5;8;3;1;31;20;7000;NA;1;60;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1kYwX0qYCftJZzo;fdd2020;F;Belgium;366;2;7;2;3;4;6;1;5;2;8;7;30;10;100;2;NA;NA;14;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3lKuR8Bs9ABspjS;fdd2020;M;Belgium;545;1;1;5;3;7;4;6;2;6;7;2;29;20;7000;NA;1;100;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
